Isolate,Amigo
N-1,0.60625
N-10,0.833333333
N-11,0.041666667
N-12,0
N-14,0.583333333
N-15,0.220833333
N-16,0.104166667
N-17,1
N-18,0.166666667
N-19,0.083333334
N-2,0.145833333
N-20,0.75
N-21,0.8125
N-22,0.208333333
N-23,0.229166667
N-25,1
N-26,1
N-27,0.5
N-28,0
N-29,0.15625
N-3,0.25
N-30,0.180555556
N-31,0.979166667
N-32,0.333333333
N-34,0.791666667
N-35,0.083333333
N-37,0
N-39,0.152777778
N-4,1
N-44,0.25
N-46,0
N-5,0.027777778
N-51,0.083333333
N-52,NA
N-53,0.095833333
N-55,0.902777778
N-6,0.854166667
N-7,0.729166667
N-AD37,0.958333333
N-AI121,0.125
N-ALI1,0
N-AMY27,0
N-BEE69,0.7375
N-BES14,0.979166667
N-BG108,0.916666667
N-BO73,0.291666667
N-CEM78,0.708333333
N-CHE54,0.03125
N-CO22,0.875
N-DER93,0.458333333
N-DI98,0.541666667
N-DR115,1
N-DY72,0.5
N-EL114,0.541666667
N-END81,0.166666667
N-EU135,0.583333333
N-FAT57,0
N-FAY33,0.930555556
N-FO55,0.583333333
N-GA85,0.041666667
N-GEB44,0.208333334
N-GOT84,1
N-GP109,0.270833333
N-HE116,0.958333333
N-HEJ58,1
N-HIT25,0.444444444
N-IDA2,0.4375
N-IO110,0.916666667
N-JB52,1
N-KAT61,0.0625
N-KEN31,0.083333333
N-KER59,0.1875
N-KIS3,0.041666667
N-LEE87,0.8125
N-LIV4,0.708333333
N-LL76,0.09375
N-LYN53,0.697916667
N-MAE35,0.708333333
N-MAX10,0
N-MEI40,0.25
N-MIN50,0.083333333
N-MO107,0.364583333
N-MOA6,0.291666667
N-MS28,0.902777778
N-MUT70,0.114583333
N-NEW32,0.041666667
N-NU124,0.041666667
N-NUT63,0
N-NYX34,0.777777778
N-OLE16,0.875
N-OLI8,0.4375
N-OUT21,0.583333333
N-PAN5,0.958333333
N-RAD47,0.166666667
N-RE12,1
N-REY74,0.194444444
N-ROG17,0.6875
N-RX11,0.805555556
N-SA71,0
N-SAL41,0.71875
N-SAM18,1
N-SC119,0.020833333
N-SE133,0.916666667
N-ST38,0
N-STR75,0.25
N-SUE89,0.541666667
N-TED26,0
N-TO62,0.125
N-TRU96,0.5
N-UB112,0.489583333
N-UFF39,0
N-ULF64,0.833333333
N-UO45,0.291666667
N-VAN60,0.145833333
N-WA117,0.458333333
N-WHO20,0.430555556
N-WON29,1
N-XX102,0.083333333
